;Janv;Fév;Mars;Avril;Mai ;Juin;Juillet;Août ;Sept;Oct;Nov;Déc;Moy;Total
Restaurants;164;200;129;138;204;253;75;123;217;89;100;162;155;1855
Fast Food;15;17;18;3;14;8;12;13;10;19;0;15;12;144
Supermarché;79;80;60;133;158;139;11;83;111;135;109;180;106;1278
Boulot;20;51;9;11;18;41;0;9;16;5;6;0;15;185
Drinks;37;104;24;33;131;36;15;2;26;9;29;42;41;487
Loisirs et sorties;5;48;40;7;47;25;0;50;65;31;0;132;37;450
Weekends/Vacances;;0;0;0;0;;0;0;0;0;0;;0;0
Multimedia/divers;1;14;9;4;0;0;0;0;7;29;44;0;9;108
Taxis;43;39;18;26;42;29;33;16;25;17;42;57;32;390
Transport en commun;13;16;0;16;0;2;0;4;0;4;28;0;7;82
Tabac;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cadeaux;35;55;116;65;99;65;76;30;104;89;166;215;93;1115
Shopping;0;0;120;174;111;9;150;43;12;40;0;0;55;658
Sport;66;66;0;61;0;22;0;7;33;33;33;33;30;354
Coiffeur;40;0;0;0;0;0;50;0;0;0;0;0;8;90
Cosmétique;0;0;20;0;0;0;0;0;0;0;0;0;2;20
Esthétique;24;0;0;0;30;75;15;65;5;0;0;0;18;214
Abonnement;15;15;15;15;15;33;16;16;16;16;18;18;17;209
Médecin;0;0;0;0;0;0;0;89;9;51;17;10;15;175
Mutuelle;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pharmacie;0;0;0;21;0;3;6;13;25;0;0;22;8;91
Services bancaires;20;5;5;5;10;48;5;5;20;5;5;5;12;139
Assurance habitation;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Internet;20;20;21;21;21;21;21;21;21;21;21;21;21;246
Loyer;587;587;587;587;587;587;587;587;587;587;587;587;587;7039
Van;83;40;40;40;40;53;40;65;287;40;58;40;69;825
Maison;219;0;0;0;0;0;0;7;193;20;37;27;42;502
Electricité;13;12;19;21;16;17;18;20;18;18;21;20;18;213
Eau;18;0;18;0;18;0;17;7;0;17;0;18;9;114
Gaz;0;31;0;31;0;26;0;25;0;9;0;23;12;145
Education;0;120;0;0;0;0;0;0;0;0;0;;11;120
Ménage;0;0;0;0;0;0;0;0;23;10;0;20;4;53
Terrain;0;0;0;0;0;0;0;0;0;6475;300;0;565;6775
Tiny;0;0;0;0;0;0;0;0;0;2768;395;32;266;3195
Babe;0;0;0;0;0;0;0;0;0;0;49;0;4;49
;;;;;;;;;;;;;;
Dépenses totales;1516;1521;1267;1412;1561;1491;1146;1301;1827;10534;2064;1678;2276;27317
;;;;;;;;;;;;;;
Salaires;2066;2249;2090;2096;2202;3911;2185;2232;2209;2266;2263;2436;2350;28204
Vinted;0;0;0;0;0;0;0;0;0;0;0;26;2;26
Revente appart;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rentes et autres;610;0;0;70;0;0;300;0;0;460;0;20;122;1460
Coverflex;85;933;80;85;745;80;80;1112;197;152;1135;128;401;4813
;;;;;;;;;;;;;;2444
Recettes totales;2676;2249;2090;2166;2202;3911;2485;2232;2209;2726;2263;2482;2474;29690
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Balance ;1160;728;823;754;641;2420;1338;931;382;-7808;199;804;198;2373
Balance annuelle;2373;;;;;;;;;;;;;